id,lodge_name_raw,lodge_name_clean,language_primary,confidence_language,ontology_primary,ontology_secondary,confidence_ontology,theme_primary,theme_secondary,confidence_theme,flags,created_at
1,Grand Stewards' Lodge,Grand Stewards' Lodge,English,0.75,GRP_MAS,,0.88,Masonic / Administrative,,0.85,ENGLISH_FALLBACK,2026-03-12T12:22:55+00:00
10,,,English,1.0,UNK_,,1.0,,,1.0,CLASSIFICATION_DEFAULTED|INPUT_BLANK,2026-03-12T12:22:55+00:00
100,,,English,1.0,UNK_,,1.0,,,1.0,CLASSIFICATION_DEFAULTED|INPUT_BLANK,2026-03-12T12:22:55+00:00
1000,Lodge of Joppa,Lodge of Joppa,English,0.9,ABS_VRT,LOC_REL,0.85,Virtue / Moral Ideal,Religious,0.85,DICT_MATCH|TOKEN_RELIGIOUS_PLACE,2026-03-12T12:22:55+00:00
1001,,,English,1.0,UNK_,,1.0,,,1.0,CLASSIFICATION_DEFAULTED|INPUT_BLANK,2026-03-12T12:22:55+00:00
1002,Lodge of Harmony,Lodge of Harmony,English,0.9,ABS_VRT,ABS_FRAT,0.85,Virtue / Moral Ideal,,0.85,DICT_MATCH,2026-03-12T12:22:55+00:00
1003,,,English,1.0,UNK_,,1.0,,,1.0,CLASSIFICATION_DEFAULTED|INPUT_BLANK,2026-03-12T12:22:55+00:00
1004,Lodge of Sincerity,Lodge of Sincerity,English,0.9,ABS_VRT,,0.85,Virtue / Moral Ideal,,0.85,DICT_MATCH,2026-03-12T12:22:55+00:00
1005,Lodge of Alfred in the University of Oxford,Lodge of Alfred in the University of Oxford,English,0.9,PRS_HIS,PRS_ROY,0.86,Royal / Aristocratic,Geographic / Civic,0.85,DICT_MATCH,2026-03-12T12:22:55+00:00
1006,Lodge of Truth,Lodge of Truth,English,0.9,ABS_VRT,,0.85,Virtue / Moral Ideal,,0.85,DICT_MATCH,2026-03-12T12:22:55+00:00
1007,Oak Lodge,Oak Lodge,English,0.75,NAT_BOT,,0.75,Nature,,0.85,ENGLISH_FALLBACK,2026-03-12T12:22:55+00:00
