id,lodge_name_raw,lodge_name_clean,language_primary,confidence_language,ontology_primary,ontology_secondary,confidence_ontology,theme_primary,theme_secondary,confidence_theme,flags,created_at,manual_ontology_correct,manual_notes,language_correct,primary_ontology_correct,any_ontology_correct
2839,Harrow Temple in Unity Lodge,Harrow Temple in Unity Lodge,English,0.9,ABS_FRAT,LOC_REL,0.8,Virtue / Moral Ideal,Religious,0.85,DICT_MATCH|TOKEN_RELIGIOUS_PLACE,2026-03-12T12:22:57+00:00,,,1,1,1
3974,Lodge Reunion,Lodge Reunion,English,0.75,ABS_FRAT,,0.8,Virtue / Moral Ideal,,0.85,ENGLISH_FALLBACK,2026-03-12T12:22:59+00:00,,,1,1,1
534,Social Lodge,Social Lodge,English,0.75,ABS_FRAT,,0.8,Virtue / Moral Ideal,,0.85,ENGLISH_FALLBACK,2026-03-12T12:22:59+00:00,,,1,1,1
6564,Bon Accord Lodge,Bon Accord Lodge,French,0.9,ABS_FRAT,,0.8,Virtue / Moral Ideal,,0.85,DICT_MATCH,2026-03-12T12:23:00+00:00,,,1,1,1
6846,Fraternity Lodge,Fraternity Lodge,English,0.75,ABS_FRAT,,0.8,Virtue / Moral Ideal,,0.85,ENGLISH_FALLBACK,2026-03-12T12:23:02+00:00,,,1,1,1
7607,Concordia Lodge,Concordia Lodge,Latin,0.9,ABS_FRAT,ABS_LAT,0.8,Virtue / Moral Ideal,,0.85,DICT_MATCH,2026-03-12T12:23:04+00:00,,,1,1,1
10951,Probatus Lodge ,Probatus Lodge,Latin,0.75,ABS_LAT,ABS_VRT,0.8,Virtue / Moral Ideal,,0.8,ENGLISH_FALLBACK|REVIEW_REQUIRED|CLAUDE_ASSISTED,2026-03-12T12:23:11+00:00,,,1,1,1
12670,Aequitas Lodge,Aequitas Lodge,English,0.75,ABS_LAT,,0.72,Virtue / Moral Ideal,,0.85,ENGLISH_FALLBACK,2026-03-12T12:23:14+00:00,,,1,1,1
12772,Santa Catarina Lodge,Santa Catarina Lodge,English,0.75,ABS_LAT,,0.72,Virtue / Moral Ideal,,0.85,ENGLISH_FALLBACK,2026-03-12T12:23:14+00:00,,,1,0,0
3318,Ubique Lodge,Ubique Lodge,English,0.75,ABS_LAT,,0.72,Virtue / Moral Ideal,,0.85,ENGLISH_FALLBACK,2026-03-12T12:22:58+00:00,,Latin - Everywhere,0,1,1
3388,Lodge Prudentia,Lodge Prudentia,English,0.75,ABS_LAT,,0.72,Virtue / Moral Ideal,,0.85,ENGLISH_FALLBACK,2026-03-12T12:22:58+00:00,,,0,1,1
6622,Ad Astra Lodge,Ad Astra Lodge,English,0.75,ABS_LAT,,0.72,Virtue / Moral Ideal,,0.85,ENGLISH_FALLBACK,2026-03-12T12:23:02+00:00,,,0,1,1
7736,Lumen Lodge,Lumen Lodge,Latin,0.9,ABS_LAT,,0.65,Virtue / Moral Ideal,,0.85,DICT_MATCH,2026-03-12T12:23:04+00:00,,,1,1,1
8331,Nisi Dominus Lodge,Nisi Dominus Lodge,Latin,0.9,ABS_LAT,PRS_REL,0.8,Religious,,0.8,DICT_MATCH|REVIEW_REQUIRED|CLAUDE_ASSISTED,2026-03-12T12:23:06+00:00,,,1,1,1
946,Caveac Lodge,Caveac Lodge,Latin,0.75,ABS_LAT,,0.8,Symbolic / Esoteric,,0.8,ENGLISH_FALLBACK|REVIEW_REQUIRED|CLAUDE_ASSISTED,2026-03-12T12:23:00+00:00,,,0,0,0
