ID,tmp_id,Sortcode,SN,LodgeNumber1894,LodgeName,DateNamed,WarrantConstitution,ConstitutionDate,FreemasonsMedal,FreemasonsMedalDate,HallStoneMedal,HallStoneMedalDate,OtherName1,OtherDate1,OtherName2,OtherDate2,OtherName3,OtherDate3,OtherName4,OtherDate4,OtherName5,OtherDate5,OtherName6,OtherDate6,LodgeNumber1729,LodgeNumber1740,LodgeNumber1755,LodgeNumber1770,LodgeNumber1780,LodgeNumber1781,LodgeNumber1792,LodgeNumberA,LodgeNumberA2,LodgeNumber1814,LodgeNumber1832,LodgeNumber1863,ReNumber1729,ReNumber1740,ReNumber1755,ReNumber1770,ReNumber1780,ReNumber1781,ReNumber1792,ReNumberA,ReNumber1814,ReNumber1832,ReNumber1863,Lapsed,Erased
1,,GRANDSTEWARDS-0001,162,0,Grand Stewards' Lodge,1792,25th June 1735,1735,no,1781,no,,Stewards' Lodge,,,,,,,,,,,,117,115,70,60,47,47,,,,,,,,,,,,,,,,,,,
10,,000-0010,33,0,,,11 July 1721,1721,,,no,,,,,,,,,,,,,,5,3,0,0,0,0,0,0,,0,0,0,,,,,,,,,0,0,0,,Erased 25 March 1745
100,,000-0100,82,0,,,1728,0,,,no,,,,,,,,,,,,,,53,47,0,0,0,0,0,0,,0,0,0,,,,,,,,,0,0,0,,
1000,,JOPPA-1000,1138,188,Lodge of Joppa,1816,21st April 1789,1789,no,,no,,,,,,,,,,,,,,,,,,,,,253,,319,223,188,,,,,,,,,,,,,
1001,,000-1001,750,0,,,17 Jan. 1769,1769,,,no,,,,,,,,,,,,,,0,0,457,388,301,302,253,0,,0,0,0,,,,,,,,,0,0,0,,Erased 6 February 1811.
1002,,HARMONY-1002,775,0,Lodge of Harmony,,27 Oct. 1769,1769,,,no,,,,,,,,,,,,,,0,0,455,389,0,0,0,0,,0,0,0,,,,,,,,,0,0,0,,
1003,,000-1003,1139,0,,,24 April 1789,1789,,,no,,,,,,,,,,,,,,0,0,0,0,0,0,0,254,,0,0,0,,,,,,,,,0,0,0,,
1004,,SINCERITY-1004,777,189,Lodge of Sincerity,,25th November 1769,1769,no,,no,,,,,,,,,,,,,,0,0,454,390,302,303,254,0,,320,224,189,,,,,,,,,0,0,0,,
1005,,ALFREDUNIVERSITYOXFORD-1005,778,0,Lodge of Alfred in the University of Oxford,,2 Dec. 1769 Constituted 21 Nov. 1769.,1769,,,no,,,,,,,,,,,,,,0,0,455,391,303,304,0,0,,0,0,0,,,,,,,,,0,0,0,,Erased 10 February 1790.
1006,,TRUTH-1006,779,0,Lodge of Truth,,16 Dec. 1769,1769,,,no,,,,,,,,,,,,,,0,0,456,392,0,0,0,0,,0,0,0,,,,,,,,,0,0,0,,Erased 23 April 1773.
1007,,OAK-1007,1142,190,Oak Lodge,1827,15th June 1789,1789,no,,no,,,,,,,,,,,,,,,,,,,,,255,,321,225,190,,,,,,,,,,,,,
1008,,SAINTJOHN-1008,766,191,Lodge of St. John,1781,4th June 1769. Consecrated 2th June 1769,1769,no,,no,,,,,,,,,,,,,,0,0,458,393,304,305,255,0,,322,226,191,,,,,,,,,0,0,0,,
1009,,000-1009,1165,0,,,18 Dec. 1789,1789,,,no,,,,,,,,,,,,,,0,0,0,0,0,0,0,256,A,0,0,0,,,,,,,,,0,0,0,Lapsed about 1792.,
101,,000-0101,83,0,,,1728,0,,,no,,,,,,,,,,,,,,54,48,0,0,0,0,0,0,,0,0,0,,,,,,,,,0,0,0,,Erased 21 November 1745
1010,,ARIMATHEA-1010,1510,0,Arimathea Lodge,,6 Feb. 1809,1809,,,no,,,,,,,,,,,,,,0,0,0,0,0,0,0,256,B,323,0,0,,,,,,,,,0,0,0,,Erased 5 March 1828.
1011,,PERFECTHARMONY-1011,780,0,Lodge of Perfect Harmony,,20 Jan. 1770,1770,,,no,,,,,,,,,,,,,,0,0,0,394,305,306,256,0,,0,0,0,,,,,,,,,0,0,0,,
1012,,000-1012,781,0,,,1 March 1770,1770,,,no,,,,,,,,,,,,,,0,0,0,395,0,0,0,0,,0,0,0,,,,,,,,,0,0,0,,Erased 23 April 1773.
1013,,CONSTITUTION-1013,783,0,Constitution Lodge,,17 March 1770 Met 27 April 1770.,1770,,,no,,,,,,,,,,,,,,0,0,0,396,306,307,0,0,,0,0,0,,,,,,,,,0,0,0,,Erased 11 February 1789.
1014,,NO1PROVINCIAL-1014,1166,0,"No. 1, Provincial",1816,1789,0,,,no,,,,,,,,,,,,,,0,0,0,0,0,0,0,257,,324,0,0,,,,,,,,,0,0,0,,Erased 1 December 1830.
1015,,FRIENDSHIP-1015,785,0,Lodge of Friendship,,22 May 1770,1770,,,no,,,,,,,,,,,,,,0,0,0,397,307,308,257,0,,0,0,0,,,,,,,,,0,0,0,,Erased 12 April 1797.
1016,,TRUEFRIENDSHIP-1016,786,0,Lodge of True Friendship,1775,23 May 1770,1770,,,no,,,,,,,,,,,,,,0,0,0,398,0,0,0,0,,0,0,0,,,,,,,,,0,0,0,,Erased in 1778.
1017,,LION&LAMB-1017,1167,192,Lion & Lamb Lodge,1816,24th December 1789,1789,no,,no,,,,,,,,,,,,,,,,,,,,,258,,325,227,192,,,,,,,,,,,,,
1018,,PROSPERITY-1018,787,0,Lodge of Prosperity,,24 May 1770,1770,,,no,,,,,,,,,,,,,,0,0,0,399,308,309,258,0,,326,0,0,,,,,,,,,0,0,0,,Erased 6 Feb. 1782.    Reinstated n Feb. 1784. Erased 3 March 1830.
1019,,CONFIDENCE-1019,1170,193,Lodge of Confidence,1820,15th February 1790,1790,no,,no,,,,,,,,,,,,,,,,,,,,,259,,327,228,193,,,,,,,,,,,,,
102,,000-0102,316,0,,,10 Oct.1753,0,,,no,,,,,,,,,,,,,,0,0,0,0,0,0,0,23,A,0,0,0,,,,,,,,,0,0,0,Lapsed about 1776-77.,
1020,,CHARLESCROWNEDCOLUMN-1020,794,0,Lodge Charles of the Crowned Column,1802,10 Oct. 1770 Constituted 10 Oct. 1770.,1770,,,no,,St. Charles de la Concord,,,,,,,,,,,,0,0,0,400,309,310,259,0,,0,0,0,,,,,,,,,0,0,0,,
1021,,000-1021,1174,0,,,6 April 1790,1790,,,no,,,,,,,,,,,,,,0,0,0,0,0,0,0,260,A,0,0,0,,,,,,,,,0,0,0,,"Erased 'for Apostasy ', 1 June 1803."
